,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalAbvGrdSF,TotalPorchSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted
0,1,60,RL,4.189654742026425,9.042040056544483,Pave,0.0,0.6931471805599453,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,1.791759469228055,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,1.6094379124341003,1.3862943611198906,PConc,4.0,3.0,0.6931471805599453,6.0,6.561030665896573,0.6931471805599453,0.0,5.017279836814924,856,GasA,5,Y,SBrkr,6.75343791859778,6.75110146893676,0.0,7.444833273892193,0.6931471805599453,0.0,2,0.6931471805599453,3,0.6931471805599453,4,2.1972245773362196,8,0.0,0.0,Attchd,2003.0,2.0,2,548,3.0,3.0,3,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,2,2008,WD,Normal,12.24769911637256,7.8504931808711405,7.444833273892193,4.127134385045092,3.5,1,1,1,0,0,1,1
1,2,20,RL,4.394449154672439,9.169622538697624,Pave,0.0,0.6931471805599453,4,4,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,2.1972245773362196,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,1.3862943611198906,1.3862943611198906,CBlock,4.0,3.0,1.6094379124341003,5.0,6.88653164253051,0.6931471805599453,0.0,5.652489180268651,1262,GasA,5,Y,SBrkr,7.141245122350491,0.0,0.0,7.141245122350491,0.0,0.6931471805599453,2,0.0,3,0.6931471805599453,3,1.9459101490553132,8,0.6931471805599453,3.0,Attchd,1976.0,2.0,2,460,3.0,3.0,3,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,5,2007,WD,Normal,12.109016442313738,7.83399634170946,7.141245122350491,0.0,2.5,1,1,0,0,0,0,1
2,3,60,RL,4.23410650459726,9.328212292571072,Pave,0.0,1.0986122886681098,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,1.791759469228055,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,1.6094379124341003,1.3862943611198906,PConc,4.0,3.0,1.0986122886681098,6.0,6.18826412308259,0.6931471805599453,0.0,6.075346031088684,920,GasA,5,Y,SBrkr,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,0.6931471805599453,0.0,2,0.6931471805599453,3,0.6931471805599453,4,1.9459101490553132,8,0.6931471805599453,3.0,Attchd,2001.0,2.0,2,608,3.0,3.0,3,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,9,2008,WD,Normal,12.317171167298682,7.903596289614301,7.488293515159428,3.7612001156935624,3.5,1,1,1,0,1,1,1
3,4,70,RL,4.110873864173311,9.164401140034737,Pave,0.0,1.0986122886681098,4,4,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,1.791759469228055,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,1.3862943611198906,1.3862943611198906,BrkTil,3.0,4.0,0.6931471805599453,5.0,5.37989735354046,0.6931471805599453,0.0,6.293419278846481,756,GasA,4,Y,SBrkr,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,0.6931471805599453,0.0,1,0.0,3,0.6931471805599453,4,2.0794415416798357,8,0.6931471805599453,4.0,Detchd,1998.0,1.0,3,642,3.0,3.0,3,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.0,Missing,Missing,0.0,2,2006,WD,Abnorml,11.849404844423074,7.813591552952433,7.4489161025442,5.730099782973574,2.0,1,1,1,0,1,0,1
4,5,60,RL,4.442651256490317,9.565283817736766,Pave,0.0,1.0986122886681098,4,4,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,1.791759469228055,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,1.6094379124341003,1.3862943611198906,PConc,4.0,3.0,1.3862943611198906,6.0,6.486160788944089,0.6931471805599453,0.0,6.19644412779452,1145,GasA,5,Y,SBrkr,7.044032897274685,6.960347729101308,0.0,7.695757990554761,0.6931471805599453,0.0,2,0.6931471805599453,4,0.6931471805599453,4,2.302585092994046,8,0.6931471805599453,3.0,Attchd,2000.0,2.0,3,836,3.0,3.0,3,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,12,2008,WD,Normal,12.429220196836383,8.114922974204593,7.695757990554761,4.442651256490317,3.5,1,1,1,0,0,0,1
5,6,50,RL,4.454347296253507,9.55506418479516,Pave,0.0,1.0986122886681098,4,4,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1.791759469228055,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,1.3862943611198906,1.3862943611198906,Wood,4.0,3.0,0.6931471805599453,6.0,6.597145701886651,0.6931471805599453,0.0,4.174387269895637,796,GasA,5,Y,SBrkr,6.680854678790215,6.340359303727752,0.0,7.217443431696533,0.6931471805599453,0.0,1,0.6931471805599453,1,0.6931471805599453,3,1.791759469228055,8,0.0,0.0,Attchd,1993.0,1.0,2,480,3.0,3.0,3,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,0.0,MnPrv,Shed,6.55250788703459,10,2009,WD,Normal,11.870606902224587,7.677400430514807,7.217443431696533,5.860786223465865,2.5,1,1,1,0,1,0,1
6,7,20,RL,4.330733340286331,9.218804450388312,Pave,0.0,0.6931471805599453,4,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,1.791759469228055,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,1.6094379124341003,1.3862943611198906,PConc,5.0,3.0,1.3862943611198906,6.0,7.222566018822171,0.6931471805599453,0.0,5.762051382780177,1686,GasA,5,Y,SBrkr,7.43543801981455,0.0,0.0,7.43543801981455,0.6931471805599453,0.0,2,0.0,3,0.6931471805599453,4,2.0794415416798357,8,0.6931471805599453,4.0,Attchd,2004.0,2.0,2,636,3.0,3.0,3,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,8,2007,WD,Normal,12.634606283893019,8.125926802707886,7.43543801981455,4.060443010546419,3.0,1,1,1,0,1,1,1
7,8,60,RL,4.394449154672439,9.247925132303454,Pave,0.0,1.0986122886681098,4,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,1.9459101490553132,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,1.3862943611198906,1.3862943611198906,CBlock,4.0,3.0,1.0986122886681098,5.0,6.756932389247553,1.6094379124341003,3.4965075614664802,5.37989735354046,1107,GasA,5,Y,SBrkr,7.010311867307229,6.891625897052253,0.0,7.645397699428633,0.6931471805599453,0.0,2,0.6931471805599453,3,0.6931471805599453,3,2.0794415416798357,8,1.0986122886681098,3.0,Attchd,1973.0,2.0,2,484,3.0,3.0,3,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,0.0,Missing,Shed,5.860786223465865,11,2009,WD,Normal,12.206077645517674,8.0702808933939,7.645397699428633,6.07073772800249,3.5,1,1,1,0,0,0,1
8,9,50,RM,3.9512437185814275,8.71948076085107,Pave,0.0,0.6931471805599453,4,4,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,1.791759469228055,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,1.3862943611198906,1.3862943611198906,BrkTil,3.0,3.0,0.6931471805599453,1.0,0.0,0.6931471805599453,0.0,6.859614903654202,952,GasA,4,Y,FuseF,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0.0,0.0,2,0.0,2,1.0986122886681098,3,2.1972245773362196,7,1.0986122886681098,3.0,Detchd,1931.0,1.0,2,468,2.0,3.0,3,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,0.0,Missing,Missing,0.0,4,2008,WD,Abnorml,11.774527900858468,7.910957382845589,7.4815557019095165,5.327876168789581,2.0,1,1,1,0,1,0,1
9,10,190,RL,3.9318256327243257,8.912069097970134,Pave,0.0,0.6931471805599453,4,4,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,1.9459101490553132,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,1.3862943611198906,1.3862943611198906,BrkTil,3.0,3.0,0.6931471805599453,6.0,6.747586526829315,0.6931471805599453,0.0,4.948759890378168,991,GasA,5,Y,SBrkr,6.982862751468942,0.0,0.0,6.982862751468942,0.6931471805599453,0.0,1,0.0,2,1.0986122886681098,3,1.791759469228055,8,1.0986122886681098,3.0,Attchd,1939.0,2.0,1,205,4.0,3.0,3,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,Missing,Missing,0.0,1,2008,WD,Normal,11.678448377988165,7.634820677745543,6.982862751468942,1.6094379124341003,2.0,1,1,1,0,1,0,1
